config_id,config_description,query_index,rank
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,0,inf
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,1,1.0
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,2,7.0
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,3,6.0
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,4,1.0
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,5,inf
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,6,1.0
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,7,inf
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,8,9.0
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,9,1.0
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,10,3.0
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,11,inf
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,12,2.0
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,13,2.0
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,14,2.0
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,15,inf
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,16,1.0
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,17,3.0
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,18,inf
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,19,inf
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,20,inf
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,21,inf
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,22,inf
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,23,7.0
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,24,inf
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,25,1.0
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,26,inf
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,27,8.0
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,28,inf
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,29,inf
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,30,1.0
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,31,5.0
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,32,1.0
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,33,1.0
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,34,inf
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,35,inf
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,36,inf
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,37,2.0
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,38,inf
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,39,6.0
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,40,1.0
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,41,1.0
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,42,1.0
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,43,1.0
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,44,1.0
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,45,1.0
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,46,2.0
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,47,1.0
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,48,1.0
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,49,inf
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,50,inf
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,51,1.0
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,52,1.0
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,53,4.0
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,54,2.0
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,55,2.0
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,56,inf
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,57,1.0
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,58,1.0
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,59,2.0
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,60,2.0
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,61,2.0
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,62,1.0
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,63,2.0
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,64,1.0
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,65,inf
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,66,inf
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,67,8.0
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,68,inf
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,69,inf
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,70,inf
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,71,1.0
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,72,inf
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,73,inf
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,74,1.0
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,75,1.0
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,76,1.0
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,77,1.0
