config_id,config_description,question_text,expected_doc_id,retrieved_top_k_ids,correct_doc_rank,is_hit_at_k
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,"O que o Anexo II da Portaria nº 1, de 8 de janeiro de 2021, descreve em relação aos cargos e funções?",18248,"[17306, 18243, 20229, 60231, 20050, 17312, 20251, 23637, 18255, 18122]",inf,False
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,O que o juiz deve fazer ao encontrar indícios de que uma pessoa migrante é vítima de tráfico de pessoas?,15085,"[15085, 32114, 15082, 15094, 34572, 15098, 32537, 15099, 15081, 15095]",1.0,True
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,Qual foi a recomendação do relator Conselheiro Ulisses Rabaneda no Processo Administrativo Disciplinar 0008049-88.2022.2.00.0000 antes do pedido de vista?,2374,"[2032, 2404, 2461, 6762, 51959, 2807, 2374, 10386, 16243, 6974]",7.0,True
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,"Quais regras do regime ordinário são aplicadas ao pagamento de precatórios submetidos ao regime especial, conforme esta Resolução?",11702,"[22128, 22158, 22168, 22167, 15830, 11702, 50635, 22183, 11715, 22129]",6.0,True
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,Qual foi a decisão do Conselho em 14 de abril de 2009 sobre o pedido de arquivamento do PAD e os pedidos referentes às três sindicâncias?,54479,"[54479, 45215, 55054, 23609, 38696, 37167, 45124, 38110, 52156, 51499]",1.0,True
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,Qual foi a decisão e quem é o relator do Procedimento de Controle Administrativo de número 0007241-98.2013.2.00.0000?,35375,"[43036, 42921, 47754, 41102, 38905, 35224, 39666, 1753, 39717, 47702]",inf,False
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,"Qual entidade é responsável pelos padrões tecnológicos e aprimoramento contínuo dos serviços notariais eletrônicos, e qual a disponibilidade do sistema CENSEC?",47248,"[47248, 8975, 47232, 8960, 47233, 8959, 47234, 47247, 47230, 8961]",1.0,True
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,Como os dados de procedimentos de violência contra a mulher são reportados ao Conselho Nacional de Justiça e quais são as suas diretrizes de padronização?,25789,"[29036, 25795, 25796, 1043, 6370, 8618, 17321, 23338, 8613, 13560]",inf,False
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,"Quais magistrados foram designados para as atividades correcionais e quem foi nomeado para assessorá-los nos trabalhos de correição, detalhando os cargos de cada um?",6289,"[5858, 14774, 53078, 18277, 18111, 18105, 5596, 10159, 6289, 42604]",9.0,True
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,Quais indexadores são utilizados para a atualização de precatórios não tributários requisitados anteriormente a dezembro de 2021 e quais são seus respectivos períodos de aplicação?,12029,"[12029, 14753, 22082, 22084, 12031, 22080, 12030, 22083, 12032, 11688]",1.0,True
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,Qual a principal pauta pela qual Ivana Farina é reconhecida por sua incansável dedicação?,22223,"[15707, 16160, 22223, 15725, 15726, 22224, 22220, 19484, 15706, 22222]",3.0,True
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,"Qual foi a decisão do Conselho sobre o pedido de prorrogação do cronograma de estatização de cartórios do TJRS, referente ao processo 0002664-77.2013.2.00.0000?",40176,"[347, 43297, 38468, 39664, 42914, 43028, 38392, 46646, 10978, 32414]",inf,False
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,"Qual é o prazo estabelecido para que o Conselho Nacional de Justiça, o Conselho da Justiça Federal, o Conselho Superior da Justiça do Trabalho e os tribunais adotem o modelo da Carteira de Identidade de Magistrado do Poder Judiciário?",35019,"[22860, 35019, 19330, 19331, 121, 124, 280, 122, 22859, 22862]",2.0,True
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,Quais informações detalhadas são solicitadas na seção de qualificação do adolescente da Guia de Unificação de Execução de Medida Socioeducativa?,43259,"[43261, 43259, 43260, 18978, 43234, 43256, 43258, 43253, 55413, 35025]",2.0,True
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,"Quais irregularidades e não conformidades foram alegadas por Vanessa Moro Fernandes no Pedido de Providências 0003366-57.2012.2.00.0000, referente ao 183º Concurso de Ingresso na Magistratura do Estado de São Paulo?",43994,"[44919, 43994, 44917, 43991, 44918, 44841, 44916, 44915, 45177, 43993]",2.0,True
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,Quando a portaria assinada pela Ministra MARIA THEREZA DE ASSIS MOURA entra em vigor?,17979,"[14557, 14644, 14501, 17633, 14450, 14479, 17069, 17513, 17608, 17568]",inf,False
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,"Qual foi a decisão do Conselho no Procedimento de Controle Administrativo nº 2009.10.00.001513-0, referente ao descumprimento da Resolução nº 07/2006/TJRJ sobre o critério de antiguidade na composição de Turmas Recursais?",53953,"[53953, 46130, 39844, 34769, 54232, 36567, 36298, 24439, 53411, 47962]",1.0,True
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,"Qual o procedimento para a conversão de valores depositados em conta judicialmente vinculada em renda para a União, após decisão condenatória final?",18372,"[37885, 44137, 18372, 18371, 11694, 40587, 50799, 33043, 3390, 3389]",3.0,True
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,Quais autoridades e seus respectivos órgãos/cargos são apresentados no texto?,6223,"[26184, 20207, 26246, 1953, 6809, 18028, 42378, 53562, 26211, 21333]",inf,False
bgem3_fixed,Modelo: bge-m3 | Estratégia: Tamanho Fixo,"Quais foram as principais determinações e as pessoas nomeadas na portaria emitida pela Ministra Eliana Calmon, Corregedora Nacional de Justiça?",47051,"[46818, 47474, 46820, 49854, 46961, 47530, 47200, 47472, 46880, 46831]",inf,False
