config_id,config_description,query_index,rank
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,0,1.0
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,1,2.0
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,2,inf
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,3,inf
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,4,inf
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,5,inf
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,6,inf
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,7,inf
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,8,inf
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,9,inf
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,10,inf
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,11,inf
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,12,inf
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,13,inf
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,14,inf
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,15,inf
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,16,inf
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,17,2.0
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,18,inf
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,19,inf
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,20,inf
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,21,inf
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,22,inf
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,23,1.0
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,24,inf
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,25,inf
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,26,inf
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,27,1.0
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,28,1.0
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,29,inf
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,30,inf
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,31,inf
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,32,inf
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,33,inf
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,34,inf
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,35,inf
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,36,inf
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,37,inf
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,38,1.0
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,39,inf
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,40,inf
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,41,inf
